DecYear,Lat,BGFlx
"2009.9637"," 29.05","3.34e-08"
"2009.9637"," 28.70","4.15e-08"
"2009.9637"," 28.32","1.20e-07"
"2009.9639"," 29.07","7.74e-08"
"2009.9641"," 28.36","1.59e-07"
"2009.9641"," 28.36","1.37e-07"
"2009.9644"," 29.23","3.20e-06"
"2009.9645"," 29.43","1.37e-07"
"2009.9646"," 29.04","1.17e-07"
"2009.9646"," 29.27","2.38e-08"
"2009.9646"," 29.46","7.91e-07"
"2009.9652"," 29.44","5.38e-08"
"2009.9656"," 29.17","7.25e-08"
"2009.9657"," 16.16","9.05e-08"
"2009.9678"," 29.62","2.56e-08"
"2009.9685"," 25.44","6.05e-08"
"2009.9691"," 29.80","5.13e-08"
"2009.9701","-26.52","7.48e-08"
"2009.9701"," 31.59","1.73e-07"
"2009.9703"," 29.49","3.08e-08"
"2009.9706","-26.28","2.05e-08"
"2009.9706"," 30.10","3.81e-08"
"2009.9707","-26.57","5.57e-08"
"2009.9707","-26.48","3.78e-08"
"2009.9707","-26.47","2.41e-06"
"2009.9711","-26.35","1.02e-07"
"2009.9711","-26.43","1.40e-07"
"2009.9712","-26.72","3.10e-08"
"2009.9712","-26.75","1.38e-07"
"2009.9712","-26.88","3.16e-07"
"2009.9712","-26.64","3.09e-07"
"2009.9713"," 31.17","1.41e-07"
"2009.9714"," 29.61","9.97e-08"
"2009.9715"," 22.82","2.39e-07"
"2009.9715","-26.00","9.73e-08"
"2009.9715","-26.38","7.15e-08"
"2009.9715"," 21.76","1.27e-07"
"2009.9716"," 21.56","3.12e-07"
"2009.9716","-26.71","1.17e-07"
"2009.9727","-27.89","7.43e-08"
"2009.9728","-28.41","1.63e-07"
"2009.9731","-26.95","3.95e-07"
"2009.9732","-27.45","7.33e-06"
"2009.9738","-27.18","6.30e-08"
"2009.9739"," 28.24","6.05e-08"
"2009.9739"," 28.08","2.76e-07"
"2009.9741","-26.91","1.07e-07"
"2009.9743"," 27.70","5.28e-08"
"2009.9744","-26.92","7.24e-07"
"2009.9744"," 27.71","7.37e-08"
"2009.9744"," 28.85","5.61e-08"
"2009.9745"," 29.30","8.15e-08"
"2009.9745"," 29.91","4.92e-08"
"2009.9746"," 16.83","9.59e-08"
"2009.9746"," 17.26","2.23e-08"
"2009.9747"," 16.46","5.31e-08"
"2009.9747"," 16.51","1.09e-07"
"2009.9754","-27.66","5.83e-08"
"2009.9758"," 16.03","1.96e-07"
"2009.9758"," 16.17","4.78e-07"
"2009.9758"," 16.52","1.82e-07"
"2009.9765","-26.86","6.46e-06"
"2009.9767"," 16.12","2.15e-07"
"2009.9768"," 15.42","2.91e-07"
"2009.9876","-26.62","7.19e-07"
"2009.9964","-30.06","5.09e-08"
"2009.9971","-27.71","2.21e-07"
"2009.9972","-27.70","2.26e-07"
"2009.9973","-27.86","1.13e-07"
"2009.9974","-27.64","1.37e-07"
"2009.9977","-30.20","8.20e-08"
"2009.9978","-28.43","1.89e-08"
"2009.9980","-28.38","1.02e-07"
"2009.9981","-28.32","1.88e-07"
"2009.9982","-28.66","7.11e-08"
"2009.9985","-27.71","6.04e-08"
"2009.9990","-29.11","6.73e-08"
"2009.9994","-29.19","9.72e-08"
"2010.0037","-26.12","3.74e-07"
"2010.0038","-27.11","2.44e-07"
"2010.0056","-27.63","2.03e-06"
"2010.0057","-27.69","2.33e-08"
"2010.0064","-26.91","1.12e-07"
"2010.0069","-27.13","7.68e-08"
"2010.0073","-27.18","8.39e-08"
"2010.0079","-27.13","2.80e-07"
"2010.0140","-27.64","5.64e-08"
"2010.0228"," 28.43","1.19e-07"
"2010.0229"," 27.81","5.33e-08"
"2010.0232"," 28.33","2.71e-07"
"2010.0246"," 28.72","4.09e-08"
"2010.0249"," 28.75","7.08e-08"
"2010.0249"," 29.61","7.71e-08"
"2010.0253"," 31.07","2.27e-08"
"2010.0260"," 30.22","2.34e-07"
"2010.0268"," 28.13","2.34e-08"
"2010.0270"," 29.00","6.83e-08"
"2010.0278"," 27.77","2.12e-08"
"2010.0278"," 27.65","3.32e-08"
"2010.0279"," 27.89","2.10e-08"
"2010.0279"," 27.68","2.45e-08"
"2010.0279"," 27.71","2.69e-08"
"2010.0279"," 27.89","8.45e-08"
"2010.0281"," 27.84","5.16e-07"
"2010.0295"," 27.60","3.99e-08"
"2010.0301"," 27.92","4.60e-08"
"2010.0301"," 28.16","3.04e-08"
"2010.0326"," 29.57","5.40e-08"
"2010.0330"," 30.02","3.62e-08"
"2010.0346"," 30.23","1.15e-07"
"2010.0350"," 30.55","4.04e-08"
"2010.0358"," 28.01","2.08e-07"
"2010.0361"," 30.27","5.27e-08"
"2010.0361"," 27.97","8.89e-08"
